frame,timecode,shot_id,keyframe,action_ko,dialogue_ko,sfx_ko,openart_prompt
1,00:00.0,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
2,00:00.1,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
3,00:00.2,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
4,00:00.3,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
5,00:00.4,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
6,00:00.5,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
7,00:00.6,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
8,00:00.7,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
9,00:00.8,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
10,00:00.9,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
11,00:01.0,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
12,00:01.1,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
13,00:01.2,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
14,00:01.3,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
15,00:01.4,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
16,00:01.5,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
17,00:01.6,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
18,00:01.7,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
19,00:01.8,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
20,00:01.9,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
21,00:02.0,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
22,00:02.1,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
23,00:02.2,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
24,00:02.3,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
25,00:02.4,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
26,00:02.5,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
27,00:02.6,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
28,00:02.7,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
29,00:02.8,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
30,00:02.9,001,kf_001_store_wide.png,모치가 별빛 편의점 앞에서 멈춘다. 유리창 불빛과 젖은 바닥 반사가 살아난다.,모치: 여기는... 아직 불이 켜져 있어.,"빗소리, 작은 발걸음","wide exterior Korean convenience store at rainy night, plush character Mochi hesitates, warm neon reflections"
