phrase,start,end,speaker,text_ko,source,keyframe,action
1,0.0,4.4,Mochi,"여기 봐, 주무. 밤인데 편의점이 별처럼 빛나.",kf_001_store_wide.png,phrase_01_mochi.jpg,Mochi notices the glowing Korean convenience store sign in the rain.
2,4.4,8.0,Zumu,"와아, 간판에 작은 별이 숨어 있어!",kf_001_store_wide.png,phrase_02_zumu.jpg,Cut toward the sign and warm star bulbs above the store.
3,8.0,11.5,Mochi,"비 냄새도 나고, 따뜻한 우유 냄새도 나.",kf_002_store_wide_alt.png,phrase_03_mochi.jpg,"Mochi sniffs the warm air at the doorway, chest star glowing softly."
4,11.5,16.4,Zumu,그럼 조심히 들어가 보자. 내 꼬리빛은 약하게 켤게.,kf_005_door_meeting.png,phrase_04_zumu.jpg,Zumu floats closer with a dim blue comet tail.
5,16.4,20.0,Mochi,"잠깐, 문 위에서 뭔가 반짝였어.",kf_006_door_meeting_alt.png,phrase_05_mochi.jpg,Mochi looks up at the automatic door sensor.
6,20.0,24.2,Zumu,센서야. 그런데 오늘은 별가루를 먹은 것 같아.,kf_006_door_meeting_alt.png,phrase_06_zumu.jpg,Zumu circles the sensor as gold dust flickers.
7,24.2,27.6,Mochi,"문아, 우리를 놀라게 하지 말아 줘.",kf_006_door_meeting_alt.png,phrase_07_mochi.jpg,"Mochi raises a paw toward the door, asking gently."
8,27.6,33.0,Zumu,"괜찮아, 내가 먼저 살짝 날아가 볼게.",kf_005_door_meeting.png,phrase_08_zumu.jpg,Zumu flies forward past the glass door.
9,33.0,36.6,Mochi,앗! 별조각들이 컵라면 쪽으로 도망가!,kf_007_star_chase.png,phrase_09_mochi.jpg,Mochi reacts as star pieces bounce toward ramyeon shelves.
10,36.6,42.0,Zumu,잡자! 하지만 진열대는 건드리지 않기!,kf_007_star_chase.png,phrase_10_zumu.jpg,Zumu leads the chase without knocking products down.
11,42.0,45.8,Mochi,바닥이 미끄러워. 천천히 가야 해.,kf_007_star_chase.png,phrase_11_mochi.jpg,Mochi slows down on the shiny wet floor.
12,45.8,52.4,Zumu,"좋아, 속도 줄일게. 반짝임만 따라와.",kf_007_star_chase.png,phrase_12_zumu.jpg,Zumu makes a slower blue trail.
13,52.4,55.6,Mochi,저 작은 별은 왜 떨고 있을까?,kf_008_emotional_pause.png,phrase_13_mochi.jpg,Mochi sees a tiny star trembling near the door.
14,55.6,62.0,Zumu,너무 밝은 불빛이 무서웠나 봐.,kf_008_emotional_pause.png,phrase_14_zumu.jpg,"Zumu lowers his body and tail light, trying not to scare it."
