frame,timecode,shot,keyframe,action_ko,no_burned_text
1,00:00.0,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
2,00:00.1,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
3,00:00.2,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
4,00:00.3,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
5,00:00.4,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
6,00:00.5,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
7,00:00.6,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
8,00:00.7,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
9,00:00.8,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
10,00:00.9,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
11,00:01.0,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
12,00:01.1,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
13,00:01.2,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
14,00:01.3,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
15,00:01.4,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
16,00:01.5,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
17,00:01.6,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
18,00:01.7,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
19,00:01.8,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
20,00:01.9,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
21,00:02.0,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
22,00:02.1,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
23,00:02.2,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
24,00:02.3,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
25,00:02.4,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
26,00:02.5,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
27,00:02.6,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
28,00:02.7,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
29,00:02.8,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
30,00:02.9,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
31,00:03.0,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
32,00:03.1,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
33,00:03.2,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
34,00:03.3,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
35,00:03.4,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
36,00:03.5,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
37,00:03.6,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
38,00:03.7,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
39,00:03.8,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
40,00:03.9,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
41,00:04.0,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
42,00:04.1,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
43,00:04.2,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
44,00:04.3,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
45,00:04.4,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
46,00:04.5,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
47,00:04.6,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
48,00:04.7,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
49,00:04.8,001,kf_001_store_wide.png,모치가 젖은 길 위에서 편의점 불빛을 발견한다.,yes
