frame,time,phrase,speaker,keyframe,text_ko
1,0000.0,1,Mochi,phrase_01_mochi.jpg,"여기 봐, 주무. 밤인데 편의점이 별처럼 빛나."
2,0000.1,1,Mochi,phrase_01_mochi.jpg,"여기 봐, 주무. 밤인데 편의점이 별처럼 빛나."
3,0000.2,1,Mochi,phrase_01_mochi.jpg,"여기 봐, 주무. 밤인데 편의점이 별처럼 빛나."
4,0000.3,1,Mochi,phrase_01_mochi.jpg,"여기 봐, 주무. 밤인데 편의점이 별처럼 빛나."
5,0000.4,1,Mochi,phrase_01_mochi.jpg,"여기 봐, 주무. 밤인데 편의점이 별처럼 빛나."
6,0000.5,1,Mochi,phrase_01_mochi.jpg,"여기 봐, 주무. 밤인데 편의점이 별처럼 빛나."
7,0000.6,1,Mochi,phrase_01_mochi.jpg,"여기 봐, 주무. 밤인데 편의점이 별처럼 빛나."
8,0000.7,1,Mochi,phrase_01_mochi.jpg,"여기 봐, 주무. 밤인데 편의점이 별처럼 빛나."
9,0000.8,1,Mochi,phrase_01_mochi.jpg,"여기 봐, 주무. 밤인데 편의점이 별처럼 빛나."
10,0000.9,1,Mochi,phrase_01_mochi.jpg,"여기 봐, 주무. 밤인데 편의점이 별처럼 빛나."
11,0001.0,1,Mochi,phrase_01_mochi.jpg,"여기 봐, 주무. 밤인데 편의점이 별처럼 빛나."
12,0001.1,1,Mochi,phrase_01_mochi.jpg,"여기 봐, 주무. 밤인데 편의점이 별처럼 빛나."
13,0001.2,1,Mochi,phrase_01_mochi.jpg,"여기 봐, 주무. 밤인데 편의점이 별처럼 빛나."
14,0001.3,1,Mochi,phrase_01_mochi.jpg,"여기 봐, 주무. 밤인데 편의점이 별처럼 빛나."
15,0001.4,1,Mochi,phrase_01_mochi.jpg,"여기 봐, 주무. 밤인데 편의점이 별처럼 빛나."
16,0001.5,1,Mochi,phrase_01_mochi.jpg,"여기 봐, 주무. 밤인데 편의점이 별처럼 빛나."
17,0001.6,1,Mochi,phrase_01_mochi.jpg,"여기 봐, 주무. 밤인데 편의점이 별처럼 빛나."
18,0001.7,1,Mochi,phrase_01_mochi.jpg,"여기 봐, 주무. 밤인데 편의점이 별처럼 빛나."
19,0001.8,1,Mochi,phrase_01_mochi.jpg,"여기 봐, 주무. 밤인데 편의점이 별처럼 빛나."
