time_seconds,shot_id,cue_ko,mix_note
0,001,"빗소리, 작은 발걸음","low volume, soft, no harsh high frequency"
10,002,"문 센서 전자음, 발걸음","low volume, soft, no harsh high frequency"
20,003,부드러운 별 꼬리 소리,"low volume, soft, no harsh high frequency"
30,004,"센서 삑, 작은 별소리","low volume, soft, no harsh high frequency"
40,005,"별 튐, 매장 조명 윙","low volume, soft, no harsh high frequency"
50,006,"빠른 발걸음, 부드러운 휙","low volume, soft, no harsh high frequency"
60,007,"소리 줄어듦, 낮은 반짝임","low volume, soft, no harsh high frequency"
70,008,"따뜻한 숨, 작은 빛 번짐","low volume, soft, no harsh high frequency"
80,009,"꼬리빛 웅, 조용한 별소리","low volume, soft, no harsh high frequency"
90,010,작은 성공음,"low volume, soft, no harsh high frequency"
100,011,"문 열림, 리듬 발소리","low volume, soft, no harsh high frequency"
110,012,"비, 네온 웅","low volume, soft, no harsh high frequency"
120,013,뜨거운 물 기계 낮은 소리,"low volume, soft, no harsh high frequency"
130,014,부드러운 착지음,"low volume, soft, no harsh high frequency"
140,015,"빛길 흐름, 작은 웃음","low volume, soft, no harsh high frequency"
150,016,"자동문, 빗소리 밝아짐","low volume, soft, no harsh high frequency"
160,017,"간판 반짝, 잔잔한 음악","low volume, soft, no harsh high frequency"
170,018,"별가루, 부드러운 엔딩","low volume, soft, no harsh high frequency"
